case_id,activity,event_index,station,timestamp_raw,i1_pos_switch,i2_pos_switch,i5_light_barrier,m1_speed,o7_valve,o8_compressor,i3_pos_switch,i4_light_barrier,m2_speed,m3_speed,i7_light_barrier,o7_compressor,o8_valve,i1_light_barrier,i3_light_barrier,i6_light_barrier,i8_light_barrier,o5_valve,o6_valve,i2_light_barrier,i5_pos_switch,i6_pos_switch,i7_pos_switch,i8_pos_switch,m4_speed,i4_pos_switch,timestamp
case_Storage_001,Storage,12,HBW_1,2023-03-20T10:30:51Z,,,,0.0,,,,1.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,2023-03-20 10:30:51+00:00
case_Storage_001,Storage,13,HBW_1,2023-03-20T10:30:53Z,,,,0.0,,,,1.0,512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:53+00:00
case_Storage_001,Storage,14,HBW_1,2023-03-20T10:30:55Z,,,,0.0,,,,1.0,512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:55+00:00
case_Storage_001,Storage,15,HBW_1,2023-03-20T10:30:57Z,,,,0.0,,,,1.0,512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:57+00:00
case_Storage_001,Storage,16,HBW_1,2023-03-20T10:30:59Z,,,,0.0,,,,1.0,512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:59+00:00
case_Storage_001,Storage,17,HBW_1,2023-03-20T10:31:01Z,,,,0.0,,,,1.0,512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:31:01+00:00
case_Storage_001,Storage,18,HBW_1,2023-03-20T10:31:03Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,-512.0,,2023-03-20 10:31:03+00:00
case_Storage_001,Storage,19,HBW_1,2023-03-20T10:31:05Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,-512.0,,2023-03-20 10:31:05+00:00
case_Storage_001,Storage,20,HBW_1,2023-03-20T10:31:07Z,,,,0.0,,,,1.0,0.0,-512.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:07+00:00
case_Storage_001,Storage,21,HBW_1,2023-03-20T10:31:09Z,,,,0.0,,,,0.0,0.0,-512.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:09+00:00
case_Storage_001,Storage,22,HBW_1,2023-03-20T10:31:11Z,,,,0.0,,,,0.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,1.0,0.0,-512.0,,2023-03-20 10:31:11+00:00
case_Storage_001,Storage,23,HBW_1,2023-03-20T10:31:13Z,,,,0.0,,,,0.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:13+00:00
case_Storage_001,Storage,24,HBW_1,2023-03-20T10:31:15Z,,,,0.0,,,,0.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:15+00:00
case_Storage_001,Storage,25,HBW_1,2023-03-20T10:31:17Z,,,,-512.0,,,,0.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,2023-03-20 10:31:17+00:00
case_Storage_001,Storage,26,HBW_1,2023-03-20T10:31:19Z,,,,0.0,,,,1.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,2023-03-20 10:31:19+00:00
case_Storage_001,Storage,27,HBW_1,2023-03-20T10:31:21Z,,,,0.0,,,,1.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,2023-03-20 10:31:21+00:00
case_Storage_001,Storage,28,HBW_1,2023-03-20T10:31:23Z,,,,0.0,,,,1.0,0.0,-512.0,,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:23+00:00
case_Storage_001,Storage,29,HBW_1,2023-03-20T10:31:25Z,,,,0.0,,,,1.0,0.0,-512.0,,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:25+00:00
case_Storage_001,Storage,30,HBW_1,2023-03-20T10:31:27Z,,,,0.0,,,,1.0,0.0,-512.0,,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:27+00:00
case_Storage_001,Storage,31,HBW_1,2023-03-20T10:31:29Z,,,,0.0,,,,0.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,1.0,0.0,512.0,,2023-03-20 10:31:29+00:00
case_Storage_001,Storage,32,HBW_1,2023-03-20T10:31:31Z,,,,0.0,,,,0.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:31+00:00
case_Storage_001,Storage,33,HBW_1,2023-03-20T10:31:33Z,,,,0.0,,,,1.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:33+00:00
case_Storage_001,Storage,34,HBW_1,2023-03-20T10:31:35Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,512.0,,2023-03-20 10:31:35+00:00
case_Storage_001,Storage,35,HBW_1,2023-03-20T10:31:37Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,512.0,,2023-03-20 10:31:37+00:00
case_Storage_001,Storage,36,HBW_1,2023-03-20T10:31:39Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,512.0,,2023-03-20 10:31:39+00:00
case_Storage_001,Storage,37,HBW_1,2023-03-20T10:31:41Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:31:41+00:00
case_Storage_001,Storage,38,HBW_1,2023-03-20T10:31:43Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:31:43+00:00
case_Storage_001,Storage,39,HBW_1,2023-03-20T10:31:45Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:31:45+00:00
case_Storage_001,Storage,40,HBW_1,2023-03-20T10:31:47Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:31:47+00:00
case_Storage_001,Storage,41,HBW_1,2023-03-20T10:31:49Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:31:49+00:00
case_Storage_001,Storage,42,HBW_1,2023-03-20T10:31:51Z,,,,0.0,,,,1.0,0.0,-512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:51+00:00
case_Storage_001,Storage,43,HBW_1,2023-03-20T10:31:53Z,,,,0.0,,,,1.0,0.0,-512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:53+00:00
case_Storage_001,Storage,44,HBW_1,2023-03-20T10:31:55Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,-512.0,,2023-03-20 10:31:55+00:00
case_Storage_001,Storage,45,HBW_1,2023-03-20T10:31:57Z,,,,0.0,,,,1.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:57+00:00
case_Storage_001,Storage,46,HBW_1,2023-03-20T10:31:59Z,,,,0.0,,,,1.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2023-03-20 10:31:59+00:00
case_Storage_001,Storage,47,HBW_1,2023-03-20T10:32:01Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,2023-03-20 10:32:01+00:00
case_Transport_001,Transport,1,WT_1,2023-03-20T10:57:07Z,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:07+00:00
case_Transport_001,Transport,2,WT_1,2023-03-20T10:57:09Z,,,,,,0.0,0.0,,-512.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:09+00:00
case_Transport_001,Transport,3,WT_1,2023-03-20T10:57:11Z,,,,,,0.0,0.0,,-512.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:11+00:00
case_Transport_001,Transport,4,WT_1,2023-03-20T10:57:13Z,,,,,,0.0,0.0,,-512.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:13+00:00
case_Transport_001,Transport,5,WT_1,2023-03-20T10:57:15Z,,,,,,0.0,0.0,,-512.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:15+00:00
case_Transport_001,Transport,6,WT_1,2023-03-20T10:57:17Z,,,,,,0.0,0.0,,-512.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:17+00:00
case_Transport_001,Transport,7,WT_1,2023-03-20T10:57:19Z,,,,,,0.0,1.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:19+00:00
case_Transport_001,Transport,8,WT_1,2023-03-20T10:57:21Z,,,,,,0.0,1.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,2023-03-20 10:57:21+00:00
case_Transport_001,Transport,9,WT_1,2023-03-20T10:57:23Z,,,,,,0.0,1.0,,0.0,,,,,,,,,512.0,512.0,,,,,,,0.0,2023-03-20 10:57:23+00:00
case_Transport_001,Transport,10,WT_1,2023-03-20T10:57:25Z,,,,,,0.0,0.0,,512.0,,,,,,,,,512.0,0.0,,,,,,,0.0,2023-03-20 10:57:25+00:00
case_Transport_001,Transport,11,WT_1,2023-03-20T10:57:27Z,,,,,,0.0,0.0,,512.0,,,,,,,,,512.0,0.0,,,,,,,0.0,2023-03-20 10:57:27+00:00
case_Transport_001,Transport,12,WT_1,2023-03-20T10:57:29Z,,,,,,0.0,0.0,,512.0,,,,,,,,,512.0,0.0,,,,,,,0.0,2023-03-20 10:57:29+00:00
case_Transport_001,Transport,13,WT_1,2023-03-20T10:57:31Z,,,,,,0.0,0.0,,512.0,,,,,,,,,512.0,0.0,,,,,,,0.0,2023-03-20 10:57:31+00:00
case_Transport_001,Transport,14,WT_1,2023-03-20T10:57:33Z,,,,,,0.0,0.0,,512.0,,,,,,,,,512.0,0.0,,,,,,,0.0,2023-03-20 10:57:33+00:00
case_Transport_001,Transport,15,WT_1,2023-03-20T10:57:35Z,,,,,,0.0,0.0,,512.0,,,,,,,,,512.0,0.0,,,,,,,0.0,2023-03-20 10:57:35+00:00
